Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 3, 224, 224], float32[64, 3, 7, 7], float32[1, 64, 112, 112]",1,"cpu0",6179.49,"2dcc36ff177ff7f3","tvmgen_default_fused_nn_conv2d",1.29805,"NCHW","OIHW",,""
"float32[64], float32[], float32[64]",1,"cpu0",14.268,"197ccb2df7f3b997","tvmgen_default_fused_add",0.0029971,,,,
"float32[64], float32[64]",1,"cpu0",14.674,"8d5cf62138ae1190","tvmgen_default_fused_rsqrt",0.00308238,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",13.221,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.00277717,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",0.978,"7f4ed7b04b5a58dd","__nop",0.000205436,,,,
"float32[1, 64, 112, 112], float32[64, 1, 1], float32[1, 64, 112, 112]",1,"cpu0",168.602,"969fd370b1252d33","tvmgen_default_fused_multiply_1",0.0354161,,,,
"float32[64], float32[64]",1,"cpu0",12.26,"d04b57b56f6fb8d9","tvmgen_default_fused_negative",0.0025753,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",12.746,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.00267739,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",12.797,"250742176c8d9a41","tvmgen_default_fused_add_1",0.0026881,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",0.82,"7f4ed7b04b5a58dd","__nop",0.000172247,,,,
"float32[1, 64, 112, 112], float32[64, 1, 1], float32[1, 64, 112, 112]",1,"cpu0",139.92,"55a28da43b5e3863","tvmgen_default_fused_add_2",0.0293912,,,,
"float32[1, 64, 112, 112], float32[1, 64, 112, 112]",1,"cpu0",126.318,"ad0ba631890195c8","tvmgen_default_fused_nn_relu",0.026534,,,,
"float32[1, 64, 112, 112], float32[1, 64, 56, 56]",1,"cpu0",406.826,"f9a2c55cab74f218","tvmgen_default_fused_nn_max_pool2d",0.0854568,,,"NCHW",""
"float32[1, 64, 56, 56], float32[64, 64, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",854.986,"c1e6ee8288d5158d","tvmgen_default_fused_nn_conv2d_1",0.179596,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[64], float32[1, 64, 56, 56]",1,"cpu0",39.046,"0af568e9467d38ce","tvmgen_default_fused_nn_bias_add",0.0082019,,,,
"float32[64], float32[], float32[64]",1,"cpu0",12.295,"197ccb2df7f3b997","tvmgen_default_fused_add",0.00258265,,,,
"float32[64], float32[64]",1,"cpu0",12.6,"8d5cf62138ae1190","tvmgen_default_fused_rsqrt",0.00264672,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",13.068,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.00274503,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",1.336,"7f4ed7b04b5a58dd","__nop",0.000280636,,,,
"float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",38.597,"cc2d5f77f27da186","tvmgen_default_fused_multiply_2",0.00810758,,,,
"float32[64], float32[64]",1,"cpu0",11.585,"d04b57b56f6fb8d9","tvmgen_default_fused_negative",0.00243351,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",11.738,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.00246565,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",11.754,"250742176c8d9a41","tvmgen_default_fused_add_1",0.00246901,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",1.213,"7f4ed7b04b5a58dd","__nop",0.000254799,,,,
"float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",32.508,"ba5d4a9c77633668","tvmgen_default_fused_add_3",0.00682854,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"cpu0",34.626,"c450efad7d659fca","tvmgen_default_fused_nn_relu_1",0.00727344,,,,
"float32[1, 64, 56, 56], float32[64, 64, 3, 3], float32[1, 64, 56, 56]",1,"cpu0",4549.38,"ecc925d282246df8","tvmgen_default_fused_nn_conv2d_2",0.955629,"NCHW","OIHW",,""
"float32[64], float32[], float32[64]",1,"cpu0",15.144,"197ccb2df7f3b997","tvmgen_default_fused_add",0.00318111,,,,
"float32[64], float32[64]",1,"cpu0",19.59,"8d5cf62138ae1190","tvmgen_default_fused_rsqrt",0.00411502,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",12.139,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.00254988,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",1.063,"7f4ed7b04b5a58dd","__nop",0.000223291,,,,
"float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",35.359,"cc2d5f77f27da186","tvmgen_default_fused_multiply_2",0.00742741,,,,
"float32[64], float32[64]",1,"cpu0",17.897,"d04b57b56f6fb8d9","tvmgen_default_fused_negative",0.00375939,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",26.96,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.00566314,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",11.964,"250742176c8d9a41","tvmgen_default_fused_add_1",0.00251312,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",0.82,"7f4ed7b04b5a58dd","__nop",0.000172247,,,,
"float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",38.299,"ba5d4a9c77633668","tvmgen_default_fused_add_3",0.00804498,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"cpu0",37.501,"c450efad7d659fca","tvmgen_default_fused_nn_relu_1",0.00787736,,,,
"float32[1, 64, 56, 56], float32[256, 64, 1, 1], float32[1, 256, 56, 56]",1,"cpu0",2971.23,"4661840ceddb3dd0","tvmgen_default_fused_nn_conv2d_3",0.624129,"NCHW","OIHW",,""
"float32[1, 256, 56, 56], float32[256], float32[1, 256, 56, 56]",1,"cpu0",144.215,"fdcc6546a3583528","tvmgen_default_fused_nn_bias_add_1",0.0302934,,,,
"float32[256], float32[], float32[256]",1,"cpu0",13.309,"b4b5144296909f79","tvmgen_default_fused_add_4",0.00279565,,,,
"float32[256], float32[256]",1,"cpu0",13.465,"9b2e34fb6a6bfbe9","tvmgen_default_fused_rsqrt_1",0.00282842,,,,
"float32[256], float32[256], float32[256]",1,"cpu0",13.164,"148aae3520e4f16f","tvmgen_default_fused_multiply_3",0.00276519,,,,
"float32[256], float32[256, 1, 1]",1,"cpu0",0.95,"32d9488c242b5d38","__nop",0.000199554,,,,
"float32[1, 256, 56, 56], float32[256, 1, 1], float32[1, 256, 56, 56]",1,"cpu0",133.606,"b16d921f9a314ce4","tvmgen_default_fused_multiply_4",0.0280649,,,,
"float32[256], float32[256]",1,"cpu0",13.952,"860daf3f81d2cb63","tvmgen_default_fused_negative_1",0.00293072,,,,
"float32[256], float32[256], float32[256]",1,"cpu0",10.719,"148aae3520e4f16f","tvmgen_default_fused_multiply_3",0.0022516,,,,
"float32[256], float32[256], float32[256]",1,"cpu0",11.751,"da3ff5444665d9ba","tvmgen_default_fused_add_5",0.00246838,,,,
"float32[256], float32[256, 1, 1]",1,"cpu0",1.103,"32d9488c242b5d38","__nop",0.000231693,,,,
"float32[1, 256, 56, 56], float32[256, 1, 1], float32[1, 256, 56, 56]",1,"cpu0",124.903,"32d56419d578e7b8","tvmgen_default_fused_add_6",0.0262368,,,,
"float32[1, 64, 56, 56], float32[256, 64, 1, 1], float32[1, 256, 56, 56]",1,"cpu0",2993.4,"4661840ceddb3dd0","tvmgen_default_fused_nn_conv2d_3",0.628786,"NCHW","OIHW",,""
"float32[256], float32[], float32[256]",1,"cpu0",15.038,"b4b5144296909f79","tvmgen_default_fused_add_4",0.00315884,,,,
"float32[256], float32[256]",1,"cpu0",12.394,"9b2e34fb6a6bfbe9","tvmgen_default_fused_rsqrt_1",0.00260345,,,,
"float32[256], float32[256], float32[256]",1,"cpu0",10.674,"148aae3520e4f16f","tvmgen_default_fused_multiply_3",0.00224215,,,,
"float32[256], float32[256, 1, 1]",1,"cpu0",0.829,"32d9488c242b5d38","__nop",0.000174137,,,,
"float32[1, 256, 56, 56], float32[256, 1, 1], float32[1, 256, 56, 56]",1,"cpu0",164.986,"b16d921f9a314ce4","tvmgen_default_fused_multiply_4",0.0346565,,,,
"float32[256], float32[256]",1,"cpu0",14.606,"860daf3f81d2cb63","tvmgen_default_fused_negative_1",0.0030681,,,,
"float32[256], float32[256], float32[256]",1,"cpu0",13.632,"148aae3520e4f16f","tvmgen_default_fused_multiply_3",0.0028635,,,,
"float32[256], float32[256], float32[256]",1,"cpu0",11.857,"da3ff5444665d9ba","tvmgen_default_fused_add_5",0.00249065,,,,
"float32[256], float32[256, 1, 1]",1,"cpu0",0.899,"32d9488c242b5d38","__nop",0.000188841,,,,
"float32[1, 256, 56, 56], float32[256, 1, 1], float32[1, 256, 56, 56]",1,"cpu0",133.905,"32d56419d578e7b8","tvmgen_default_fused_add_6",0.0281277,,,,
"float32[1, 256, 56, 56], float32[1, 256, 56, 56], float32[1, 256, 56, 56]",1,"cpu0",200.082,"7dcbb76e6587b0ac","tvmgen_default_fused_add_7",0.0420287,,,,
"float32[1, 256, 56, 56], float32[1, 256, 56, 56]",1,"cpu0",142.169,"2920dd789f380081","tvmgen_default_fused_nn_relu_2",0.0298636,,,,
"float32[1, 256, 56, 56], float32[64, 256, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",3254.95,"29aadc13e1f63dcf","tvmgen_default_fused_nn_conv2d_4",0.683725,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[64], float32[1, 64, 56, 56]",1,"cpu0",46.129,"0af568e9467d38ce","tvmgen_default_fused_nn_bias_add",0.00968973,,,,
"float32[64], float32[], float32[64]",1,"cpu0",13.464,"197ccb2df7f3b997","tvmgen_default_fused_add",0.00282821,,,,
"float32[64], float32[64]",1,"cpu0",13.146,"8d5cf62138ae1190","tvmgen_default_fused_rsqrt",0.00276141,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",12.907,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.00271121,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",0.878,"7f4ed7b04b5a58dd","__nop",0.00018443,,,,
"float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",33.697,"cc2d5f77f27da186","tvmgen_default_fused_multiply_2",0.0070783,,,,
"float32[64], float32[64]",1,"cpu0",12.252,"d04b57b56f6fb8d9","tvmgen_default_fused_negative",0.00257362,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",11.319,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.00237764,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",11.626,"250742176c8d9a41","tvmgen_default_fused_add_1",0.00244213,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",0.757,"7f4ed7b04b5a58dd","__nop",0.000159013,,,,
"float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",37.009,"ba5d4a9c77633668","tvmgen_default_fused_add_3",0.00777401,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"cpu0",37.613,"c450efad7d659fca","tvmgen_default_fused_nn_relu_1",0.00790088,,,,
"float32[1, 64, 56, 56], float32[64, 64, 3, 3], float32[1, 64, 56, 56]",1,"cpu0",5576.6,"ecc925d282246df8","tvmgen_default_fused_nn_conv2d_2",1.17141,"NCHW","OIHW",,""
"float32[64], float32[], float32[64]",1,"cpu0",13.375,"197ccb2df7f3b997","tvmgen_default_fused_add",0.00280952,,,,
"float32[64], float32[64]",1,"cpu0",12.859,"8d5cf62138ae1190","tvmgen_default_fused_rsqrt",0.00270113,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",15.795,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.00331785,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",1.122,"7f4ed7b04b5a58dd","__nop",0.000235684,,,,
"float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",54.293,"cc2d5f77f27da186","tvmgen_default_fused_multiply_2",0.0114046,,,,
"float32[64], float32[64]",1,"cpu0",14.018,"d04b57b56f6fb8d9","tvmgen_default_fused_negative",0.00294458,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",11.686,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.00245473,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",12.235,"250742176c8d9a41","tvmgen_default_fused_add_1",0.00257005,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",5.605,"7f4ed7b04b5a58dd","__nop",0.00117737,,,,
"float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",40.22,"ba5d4a9c77633668","tvmgen_default_fused_add_3",0.0084485,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"cpu0",36.983,"c450efad7d659fca","tvmgen_default_fused_nn_relu_1",0.00776855,,,,
"float32[1, 64, 56, 56], float32[256, 64, 1, 1], float32[1, 256, 56, 56]",1,"cpu0",3006.82,"4661840ceddb3dd0","tvmgen_default_fused_nn_conv2d_3",0.631605,"NCHW","OIHW",,""
"float32[1, 256, 56, 56], float32[256], float32[1, 256, 56, 56]",1,"cpu0",143.625,"fdcc6546a3583528","tvmgen_default_fused_nn_bias_add_1",0.0301695,,,,
"float32[256], float32[], float32[256]",1,"cpu0",17.662,"b4b5144296909f79","tvmgen_default_fused_add_4",0.00371003,,,,
"float32[256], float32[256]",1,"cpu0",12.264,"9b2e34fb6a6bfbe9","tvmgen_default_fused_rsqrt_1",0.00257614,,,,
"float32[256], float32[256], float32[256]",1,"cpu0",11.805,"148aae3520e4f16f","tvmgen_default_fused_multiply_3",0.00247973,,,,
"float32[256], float32[256, 1, 1]",1,"cpu0",1.523,"32d9488c242b5d38","__nop",0.000319917,,,,
"float32[1, 256, 56, 56], float32[256, 1, 1], float32[1, 256, 56, 56]",1,"cpu0",137.731,"b16d921f9a314ce4","tvmgen_default_fused_multiply_4",0.0289314,,,,
"float32[256], float32[256]",1,"cpu0",13.122,"860daf3f81d2cb63","tvmgen_default_fused_negative_1",0.00275637,,,,
"float32[256], float32[256], float32[256]",1,"cpu0",11.573,"148aae3520e4f16f","tvmgen_default_fused_multiply_3",0.00243099,,,,
"float32[256], float32[256], float32[256]",1,"cpu0",10.095,"da3ff5444665d9ba","tvmgen_default_fused_add_5",0.00212053,,,,
"float32[256], float32[256, 1, 1]",1,"cpu0",1.043,"32d9488c242b5d38","__nop",0.00021909,,,,
"float32[1, 256, 56, 56], float32[256, 1, 1], float32[1, 256, 56, 56]",1,"cpu0",117.274,"32d56419d578e7b8","tvmgen_default_fused_add_6",0.0246343,,,,
"float32[1, 256, 56, 56], float32[1, 256, 56, 56], float32[1, 256, 56, 56]",1,"cpu0",201.088,"7dcbb76e6587b0ac","tvmgen_default_fused_add_7",0.04224,,,,
"float32[1, 256, 56, 56], float32[1, 256, 56, 56]",1,"cpu0",124.57,"2920dd789f380081","tvmgen_default_fused_nn_relu_2",0.0261668,,,,
"float32[1, 256, 56, 56], float32[64, 256, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",3178.18,"29aadc13e1f63dcf","tvmgen_default_fused_nn_conv2d_4",0.667599,"NCHW","OIHW",,""
"float32[1, 64, 56, 56], float32[64], float32[1, 64, 56, 56]",1,"cpu0",44.853,"0af568e9467d38ce","tvmgen_default_fused_nn_bias_add",0.0094217,,,,
"float32[64], float32[], float32[64]",1,"cpu0",11.827,"197ccb2df7f3b997","tvmgen_default_fused_add",0.00248435,,,,
"float32[64], float32[64]",1,"cpu0",11.962,"8d5cf62138ae1190","tvmgen_default_fused_rsqrt",0.0025127,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",11.03,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.00231693,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",1.292,"7f4ed7b04b5a58dd","__nop",0.000271394,,,,
"float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",33.927,"cc2d5f77f27da186","tvmgen_default_fused_multiply_2",0.00712661,,,,
"float32[64], float32[64]",1,"cpu0",10.651,"d04b57b56f6fb8d9","tvmgen_default_fused_negative",0.00223732,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",15.259,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.00320526,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",10.314,"250742176c8d9a41","tvmgen_default_fused_add_1",0.00216653,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",0.835,"7f4ed7b04b5a58dd","__nop",0.000175398,,,,
"float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",33.256,"ba5d4a9c77633668","tvmgen_default_fused_add_3",0.00698566,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"cpu0",31.177,"c450efad7d659fca","tvmgen_default_fused_nn_relu_1",0.00654895,,,,
"float32[1, 64, 56, 56], float32[64, 64, 3, 3], float32[1, 64, 56, 56]",1,"cpu0",6426.7,"ecc925d282246df8","tvmgen_default_fused_nn_conv2d_2",1.34998,"NCHW","OIHW",,""
"float32[64], float32[], float32[64]",1,"cpu0",12.884,"197ccb2df7f3b997","tvmgen_default_fused_add",0.00270638,,,,
"float32[64], float32[64]",1,"cpu0",11.507,"8d5cf62138ae1190","tvmgen_default_fused_rsqrt",0.00241713,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",11.259,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.00236503,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",1.27,"7f4ed7b04b5a58dd","__nop",0.000266773,,,,
"float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",39.793,"cc2d5f77f27da186","tvmgen_default_fused_multiply_2",0.00835881,,,,
"float32[64], float32[64]",1,"cpu0",11.679,"d04b57b56f6fb8d9","tvmgen_default_fused_negative",0.00245326,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",11.753,"e0edc3df26e09ee4","tvmgen_default_fused_multiply",0.0024688,,,,
"float32[64], float32[64], float32[64]",1,"cpu0",11.438,"250742176c8d9a41","tvmgen_default_fused_add_1",0.00240263,,,,
"float32[64], float32[64, 1, 1]",1,"cpu0",0.894,"7f4ed7b04b5a58dd","__nop",0.000187791,,,,
"float32[1, 64, 56, 56], float32[64, 1, 1], float32[1, 64, 56, 56]",1,"cpu0",34.385,"ba5d4a9c77633668","tvmgen_default_fused_add_3",0.00722282,,,,
"float32[1, 64, 56, 56], float32[1, 64, 56, 56]",1,"cpu0",40.023,"c450efad7d659fca","tvmgen_default_fused_nn_relu_1",0.00840712,,,,
"float32[1, 64, 56, 56], float32[256, 64, 1, 1], float32[1, 256, 56, 56]",1,"cpu0",2998.72,"4661840ceddb3dd0","tvmgen_default_fused_nn_conv2d_3",0.629904,"NCHW","OIHW",,""
"float32[1, 256, 56, 56], float32[256], float32[1, 256, 56, 56]",1,"cpu0",139.362,"fdcc6546a3583528","tvmgen_default_fused_nn_bias_add_1",0.029274,,,,
"float32[256], float32[], float32[256]",1,"cpu0",16.104,"b4b5144296909f79","tvmgen_default_fused_add_4",0.00338276,,,,
"float32[256], float32[256]",1,"cpu0",12.434,"9b2e34fb6a6bfbe9","tvmgen_default_fused_rsqrt_1",0.00261185,,,,
"float32[256], float32[256], float32[256]",1,"cpu0",10.983,"148aae3520e4f16f","tvmgen_default_fused_multiply_3",0.00230706,,,,
"float32[256], float32[256, 1, 1]",1,"cpu0",0.808,"32d9488c242b5d38","__nop",0.000169726,,,,
"float32[1, 256, 56, 56], float32[256, 1, 1], float32[1, 256, 56, 56]",1,"cpu0",134.228,"b16d921f9a314ce4","tvmgen_default_fused_multiply_4",0.0281956,,,,
"float32[256], float32[256]",1,"cpu0",12.72,"860daf3f81d2cb63","tvmgen_default_fused_negative_1",0.00267193,,,,
"float32[256], float32[256], float32[256]",1,"cpu0",11.661,"148aae3520e4f16f","tvmgen_default_fused_multiply_3",0.00244948,,,,
"float32[256], float32[256], float32[256]",1,"cpu0",11.617,"da3ff5444665d9ba","tvmgen_default_fused_add_5",0.00244024,,,,
"float32[256], float32[256, 1, 1]",1,"cpu0",0.754,"32d9488c242b5d38","__nop",0.000158383,,,,
"float32[1, 256, 56, 56], float32[256, 1, 1], float32[1, 256, 56, 56]",1,"cpu0",123.264,"32d56419d578e7b8","tvmgen_default_fused_add_6",0.0258925,,,,
"float32[1, 256, 56, 56], float32[1, 256, 56, 56], float32[1, 256, 56, 56]",1,"cpu0",200.203,"7dcbb76e6587b0ac","tvmgen_default_fused_add_7",0.0420541,,,,
"float32[1, 256, 56, 56], float32[1, 256, 56, 56]",1,"cpu0",129.716,"2920dd789f380081","tvmgen_default_fused_nn_relu_2",0.0272478,,,,
"float32[1, 256, 56, 56], float32[128, 256, 1, 1], float32[1, 128, 28, 28]",1,"cpu0",1737.09,"e437cc4df5209bcd","tvmgen_default_fused_nn_conv2d_5",0.364888,"NCHW","OIHW",,""
"float32[1, 128, 28, 28], float32[128], float32[1, 128, 28, 28]",1,"cpu0",42.134,"955e212d83ef6da9","tvmgen_default_fused_nn_bias_add_2",0.00885055,,,,
"float32[128], float32[], float32[128]",1,"cpu0",13.551,"6f72496bc2887ba0","tvmgen_default_fused_add_8",0.00284649,,,,
"float32[128], float32[128]",1,"cpu0",16.154,"fd6780abbe38afa4","tvmgen_default_fused_rsqrt_2",0.00339326,,,,
"float32[128], float32[128], float32[128]",1,"cpu0",10.707,"9fffdd7c9ec88ea4","tvmgen_default_fused_multiply_5",0.00224908,,,,
"float32[128], float32[128, 1, 1]",1,"cpu0",0.953,"347820212ea67087","__nop",0.000200185,,,,
"float32[1, 128, 28, 28], float32[128, 1, 1], float32[1, 128, 28, 28]",1,"cpu0",20.89,"8c913d0934b86470","tvmgen_default_fused_multiply_6",0.0043881,,,,
"float32[128], float32[128]",1,"cpu0",11.899,"6ae7531d9346f45d","tvmgen_default_fused_negative_2",0.00249947,,,,
"float32[128], float32[128], float32[128]",1,"cpu0",12.159,"9fffdd7c9ec88ea4","tvmgen_default_fused_multiply_5",0.00255409,,,,
"float32[128], float32[128], float32[128]",1,"cpu0",11.875,"7b489ee143878bd5","tvmgen_default_fused_add_9",0.00249443,,,,
"float32[128], float32[128, 1, 1]",1,"cpu0",1.049,"347820212ea67087","__nop",0.00022035,,,,
"float32[1, 128, 28, 28], float32[128, 1, 1], float32[1, 128, 28, 28]",1,"cpu0",21.893,"fd7443ea4c736fd4","tvmgen_default_fused_add_10",0.00459878,,,,
"float32[1, 128, 28, 28], float32[1, 128, 28, 28]",1,"cpu0",22.884,"ad9e375b69967565","tvmgen_default_fused_nn_relu_3",0.00480695,,,,
"float32[1, 128, 28, 28], float32[128, 128, 3, 3], float32[1, 128, 28, 28]",1,"cpu0",6182.13,"56a142616996fd9b","tvmgen_default_fused_nn_conv2d_6",1.2986,"NCHW","OIHW",,""
"float32[128], float32[], float32[128]",1,"cpu0",13.188,"6f72496bc2887ba0","tvmgen_default_fused_add_8",0.00277024,,,,
"float32[128], float32[128]",1,"cpu0",12.299,"fd6780abbe38afa4","tvmgen_default_fused_rsqrt_2",0.00258349,,,,
"float32[128], float32[128], float32[128]",1,"cpu0",11.251,"9fffdd7c9ec88ea4","tvmgen_default_fused_multiply_5",0.00236335,,,,
"float32[128], float32[128, 1, 1]",1,"cpu0",1.237,"347820212ea67087","__nop",0.000259841,,,,
"float32[1, 128, 28, 28], float32[128, 1, 1], float32[1, 128, 28, 28]",1,"cpu0",22.055,"8c913d0934b86470","tvmgen_default_fused_multiply_6",0.00463281,,,,
"float32[128], float32[128]",1,"cpu0",13.107,"6ae7531d9346f45d","tvmgen_default_fused_negative_2",0.00275322,,,,
"float32[128], float32[128], float32[128]",1,"cpu0",11.721,"9fffdd7c9ec88ea4","tvmgen_default_fused_multiply_5",0.00246208,,,,
"float32[128], float32[128], float32[128]",1,"cpu0",12.246,"7b489ee143878bd5","tvmgen_default_fused_add_9",0.00257236,,,,
"float32[128], float32[128, 1, 1]",1,"cpu0",0.896,"347820212ea67087","__nop",0.000188211,,,,
"float32[1, 128, 28, 28], float32[128, 1, 1], float32[1, 128, 28, 28]",1,"cpu0",25.265,"fd7443ea4c736fd4","tvmgen_default_fused_add_10",0.0053071,,,,
"float32[1, 128, 28, 28], float32[1, 128, 28, 28]",1,"cpu0",26.236,"ad9e375b69967565","tvmgen_default_fused_nn_relu_3",0.00551106,,,,
"float32[1, 128, 28, 28], float32[512, 128, 1, 1], float32[1, 512, 28, 28]",1,"cpu0",2876.17,"75f8ab87f5e00be5","tvmgen_default_fused_nn_conv2d_7",0.60416,"NCHW","OIHW",,""
"float32[1, 512, 28, 28], float32[512], float32[1, 512, 28, 28]",1,"cpu0",76.457,"2b44fee34eaf69ef","tvmgen_default_fused_nn_bias_add_3",0.0160603,,,,
"float32[512], float32[], float32[512]",1,"cpu0",15.045,"396791ebcb34dcef","tvmgen_default_fused_add_11",0.00316031,,,,
"float32[512], float32[512]",1,"cpu0",13.43,"fb1bb5a33562d902","tvmgen_default_fused_rsqrt_3",0.00282107,,,,
"float32[512], float32[512], float32[512]",1,"cpu0",10.937,"26dd3c4dd7504e80","tvmgen_default_fused_multiply_7",0.0022974,,,,
"float32[512], float32[512, 1, 1]",1,"cpu0",0.948,"a9df7ea5f2c32b6d","__nop",0.000199134,,,,
"float32[1, 512, 28, 28], float32[512, 1, 1], float32[1, 512, 28, 28]",1,"cpu0",63.084,"10cea3495b492fcc","tvmgen_default_fused_multiply_8",0.0132513,,,,
"float32[512], float32[512]",1,"cpu0",12.068,"60a42973881b9784","tvmgen_default_fused_negative_3",0.00253497,,,,
"float32[512], float32[512], float32[512]",1,"cpu0",11.787,"26dd3c4dd7504e80","tvmgen_default_fused_multiply_7",0.00247594,,,,
"float32[512], float32[512], float32[512]",1,"cpu0",11.7,"0ea50e451167174d","tvmgen_default_fused_add_12",0.00245767,,,,
"float32[512], float32[512, 1, 1]",1,"cpu0",0.938,"a9df7ea5f2c32b6d","__nop",0.000197034,,,,
"float32[1, 512, 28, 28], float32[512, 1, 1], float32[1, 512, 28, 28]",1,"cpu0",57.235,"f341be187455ec8f","tvmgen_default_fused_add_13",0.0120226,,,,
"float32[1, 256, 56, 56], float32[512, 256, 1, 1], float32[1, 512, 28, 28]",1,"cpu0",7021.93,"cc43ce550f3669c0","tvmgen_default_fused_nn_conv2d_8",1.47501,"NCHW","OIHW",,""
"float32[512], float32[], float32[512]",1,"cpu0",18.728,"396791ebcb34dcef","tvmgen_default_fused_add_11",0.00393395,,,,
"float32[512], float32[512]",1,"cpu0",12.515,"fb1bb5a33562d902","tvmgen_default_fused_rsqrt_3",0.00262887,,,,
"float32[512], float32[512], float32[512]",1,"cpu0",12.235,"26dd3c4dd7504e80","tvmgen_default_fused_multiply_7",0.00257005,,,,
"float32[512], float32[512, 1, 1]",1,"cpu0",1.187,"a9df7ea5f2c32b6d","__nop",0.000249338,,,,
"float32[1, 512, 28, 28], float32[512, 1, 1], float32[1, 512, 28, 28]",1,"cpu0",75.732,"10cea3495b492fcc","tvmgen_default_fused_multiply_8",0.0159081,,,,
"float32[512], float32[512]",1,"cpu0",10.605,"60a42973881b9784","tvmgen_default_fused_negative_3",0.00222766,,,,
"float32[512], float32[512], float32[512]",1,"cpu0",15.129,"26dd3c4dd7504e80","tvmgen_default_fused_multiply_7",0.00317796,,,,
